topic,tweet,tokenized tweet,R1,R2,R3,R4,R5,R1-1-1,R2-1-2,R3-2-1,R4-2-2,R5-3-1,R6-3-2,R7-3-3,R8-4-1,R9-4-2,R10-5-1,R11-5-2,R12-5-3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12
Black Lives Matter,"We’ve been listening a lot this week and.

We support standing up for racial justice.

We support 
, 
, and 
 for their courage and strength while broadcasting during this very difficult week.

We support #BlackLivesMatter","We ’ ve been listening a lot this week and . We support standing up for racial justice . We support , , and for their courage and strength while broadcasting during this very difficult week . We support #BlackLivesMatter",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Black Lives Matter,"More than 200 are demonstrating at the Christopher Columbus statue in Richmond’s Byrd Park. Organizers say their intention is to bring attention to discrimination facing indigenous peoples, and show solidarity with the #BlackLivesMatter movement. 
 will have a full story.","More than 200 are demonstrating at the Christopher Columbus statue in Richmond ’ s Byrd Park . Organizers say their intention is to bring attention to discrimination facing indigenous peoples , and show solidarity with the #BlackLivesMatter movement . will have a full story .",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
Black Lives Matter,"ComicBook Debate stands with #BlackLivesMatter.

To help continue raise awareness, my brothers & I came together for a short discussion on systematic racism and police brutality.

In our video you’ll find multiple links guiding you to where to donate, sign, & use your voice.","ComicBook Debate stands with #BlackLivesMatter . To help continue raise awareness , my brothers & I came together for a short discussion on systematic racism and police brutality . In our video you ’ ll find multiple links guiding you to where to donate , sign , & use your voice .",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1
Black Lives Matter,"WATCH what #racism does to each generation of black children indoctrinated with hate directed at them for the color of their skin. If you don't see the emotional & psychological damage that can create, then you're blind. #BlackLivesMatter cuz ""their houses are on fire"" not yours.","WATCH what #racism does to each generation of black children indoctrinated with hate directed at them for the color of their skin . If you don't see the emotional & psychological damage that can create , then you're blind . #BlackLivesMatter cuz "" their houses are on fire "" not yours .",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
Black Lives Matter,I can think of very few hashtags more important than #BlackLivesMatter - Let's never forget all the lives lost to white supremacy.,I can think of very few hashtags more important than #BlackLivesMatter - Let's never forget all the lives lost to white supremacy .,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3
Black Lives Matter,Spreads the word! #Ferguson calls Monday 4:30 shut down freeways - slow down with flashers on for 4 1/2 min. #MikeBrown #BlackLivesMatter,Spreads the word ! #Ferguson calls Monday 4:30 shut down freeways - slow down with flashers on for 4 1/2 min . #MikeBrown #BlackLivesMatter,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
Black Lives Matter,"This should be national news. this is exactly what moved 
 to first #TakeAKnee, & why it's necessary to say #BlackLivesMatter!","This should be national news . this is exactly what moved to first #TakeAKnee , & why it's necessary to say #BlackLivesMatter !",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4
Black Lives Matter,Question: all of the Black celebrities outchea talking about #BlackLivesMatter.how many of them have Black representation.how many are with a black-owned agency?,Question : all of the Black celebrities outchea talking about #BlackLivesMatter . how many of them have Black representation.how many are with a black-owned agency ?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,3
Black Lives Matter,I really need y’all to DELETE & STOP USING TIK TOK. If you’re fighting for #BlackLivesMatter & then go & use tik tok it makes no sense. Its a racist app that uses certain algorithms to filter out POC. But they have no problem leaving racist videos on the app.,I really need y ’ all to DELETE & STOP USING TIK TOK . If you ’ re fighting for #BlackLivesMatter & then go & use tik tok it makes no sense . Its a racist app that uses certain algorithms to filter out POC . But they have no problem leaving racist videos on the app .,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
Black Lives Matter,"Cops are out hunting down blacks, correct #BlackLivesMatter ? Truth, black males average .32 encounters with police vs .35 for white males. Go put that on a picket sign.","Cops are out hunting down blacks , correct #BlackLivesMatter ? Truth , black males average . 32 encounters with police vs . 35 for white males . Go put that on a picket sign .",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
Democracy,The more deliberate is the immiseration of the populations of the West the clearer it is that the war started by lockdown is not between nation states but a civil war waged by international technocracies of global capitalism against national institutions of democratic governance.,The more deliberate is the immiseration of the populations of the West the clearer it is that the war started by lockdown is not between nation states but a civil war waged by international technocracies of global capitalism against national institutions of democratic governance .,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1
Democracy,Two tier judicial system…. Shocking miss use of democratic powers look how Tommy Robinson has been vilified for standing up for underage victims of grooming gangs of rochdale Rotherham Luton etc etc,Two tier judicial system … . Shocking miss use of democratic powers look how Tommy Robinson has been vilified for standing up for underage victims of grooming gangs of rochdale Rotherham Luton etc etc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
Democracy,"Day 2 of the #WarsawHDC: During the plenary on democratic institutions participants discussed:
New trends and challenges
Equal participation to public and political life
The role of national human rights institutions and civil society
Genuine and fair elections",Day 2 of the #WarsawHDC : During the plenary on democratic institutions participants discussed : New trends and challenges Equal participation to public and political life The role of national human rights institutions and civil society Genuine and fair elections,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
Democracy,"Even if you don’t like 
 which is your right since we’re in a democratic system,there’s no way you will pas through Kaduna City & not appreciate the beautiful works he’s done thus far. Mallam is the father of modern Kaduna. It’s our hope that his successor would do better.","Even if you don ’ t like which is your right since we ’ re in a democratic system , there ’ s no way you will pas through Kaduna City & not appreciate the beautiful works he ’ s done thus far . Mallam is the father of modern Kaduna . It ’ s our hope that his successor would do better .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Democracy,"Are U ready for real freedom? is the future of a free democratic country or a fascist future without rights, bound in a rotten system. Will corrupt rulers be our destiny? U decide now. Millions of people take to the streets & change the system ⁧#حقیقی_آزادی_مارچ","Are U ready for real freedom ? is the future of a free democratic country or a fascist future without rights , bound in a rotten system . Will corrupt rulers be our destiny ? U decide now . Millions of people take to the streets & change the system ⁧ #حقیقی_آزادی_مارچ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
Democracy,Political leaders have no souls. Only focus on votebank appeasement to clinch & control power. That is the failure of democratic system.,Political leaders have no souls . Only focus on votebank appeasement to clinch & control power . That is the failure of democratic system .,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Democracy,"Let's wait and see what the Latino community in Florida will do. If they have some common sense and care for our democratic institutions, they will vote him out.","Let's wait and see what the Latino community in Florida will do . If they have some common sense and care for our democratic institutions , they will vote him out .",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,3
Democracy,"""'s victory is not only about pushing the invaders behind the '91 borders. It's about the country after victory, as part of the. We want to be an equal part ofwith rule of law, with democratic institutions. That is what we are fighting for."" 
 
 #17KyivDialogue",""" ' s victory is not only about pushing the invaders behind the ' 91 borders . It's about the country after victory , as part of the . We want to be an equal part ofwith rule of law , with democratic institutions . That is what we are fighting for . "" #17KyivDialogue",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Democracy,"“Do our institutions, stories, policies and practices serve the purpose of building a just multiracial democratic society? It’s really not more complicated than that.” 
 #capcon22 #communityaction","“ Do our institutions , stories , policies and practices serve the purpose of building a just multiracial democratic society ? It ’ s really not more complicated than that . ” #capcon22 #communityaction",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4
Democracy,"The US and its allies are waging a fierce hybrid war, across multiple continents and using multiple means of warfare, to protect the imperialist world system and to prevent its replacement by a democratic, multipolar order. China-Russia unity is indispensable for the fightback.","The US and its allies are waging a fierce hybrid war , across multiple continents and using multiple means of warfare , to protect the imperialist world system and to prevent its replacement by a democratic , multipolar order . China-Russia unity is indispensable for the fightback .",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
